n_est,max_depth,lambda,learning_rate,missing,objective,accuracy
200,3,2,0.15,0,binary:logistic,0.8497896941982145
200,3,2,0.15,0,binary:hinge,0.8407603742738169
200,3,2,0.15,0,binary:logitraw,0.8435858639082515
200,3,2,0.2,nan,binary:logistic,0.8512024093036686
200,3,2,0.2,nan,binary:hinge,0.8423266680680431
200,3,2,0.2,nan,binary:logitraw,0.8434322937085547
200,3,2,0.2,0,binary:logistic,0.8512024093036686
200,3,2,0.2,0,binary:hinge,0.8423266680680431
200,3,2,0.2,0,binary:logitraw,0.8434322937085547
200,3,2,0.25,nan,binary:logistic,0.8503732417151593
200,3,2,0.25,nan,binary:hinge,0.8426338311049709
200,3,2,0.25,nan,binary:logitraw,0.8434937404643987
200,3,2,0.25,0,binary:logistic,0.8503732417151593
200,3,2,0.25,0,binary:hinge,0.8426338311049709
200,3,2,0.25,0,binary:logitraw,0.8434937404643987
200,4,0.5,0.15,nan,binary:logistic,0.8500967893225408
200,4,0.5,0.15,nan,binary:hinge,0.8412210311087649
200,4,0.5,0.15,nan,binary:logitraw,0.8433094256640917
200,4,0.5,0.15,0,binary:logistic,0.8500967893225408
200,4,0.5,0.15,0,binary:hinge,0.8412210311087649
200,4,0.5,0.15,0,binary:logitraw,0.8433094256640917
200,4,0.5,0.2,nan,binary:logistic,0.849605427502667
200,4,0.5,0.2,nan,binary:hinge,0.8413746550726047
200,4,0.5,0.2,nan,binary:logitraw,0.8427873333920664
200,4,0.5,0.2,0,binary:logistic,0.849605427502667
200,4,0.5,0.2,0,binary:hinge,0.8413746550726047
200,4,0.5,0.2,0,binary:logitraw,0.8427873333920664
200,4,0.5,0.25,nan,binary:logistic,0.8480698415230582
200,4,0.5,0.25,nan,binary:hinge,0.8432787574651583
200,4,0.5,0.25,nan,binary:logitraw,0.8436165660634857
200,4,0.5,0.25,0,binary:logistic,0.8480698415230582
200,4,0.5,0.25,0,binary:hinge,0.8432787574651583
200,4,0.5,0.25,0,binary:logitraw,0.8436165660634857
200,4,1,0.15,nan,binary:logistic,0.8497282615908291
200,4,1,0.15,nan,binary:hinge,0.8422652863951088
200,4,1,0.15,nan,binary:logitraw,0.843063743339309
200,4,1,0.15,0,binary:logistic,0.8497282615908291
200,4,1,0.15,0,binary:hinge,0.8422652863951088
200,4,1,0.15,0,binary:logitraw,0.843063743339309
200,4,1,0.2,nan,binary:logistic,0.848960506801863
200,4,1,0.2,nan,binary:hinge,0.8423267020243439
200,4,1,0.2,nan,binary:logitraw,0.8430944454945429
200,4,1,0.2,0,binary:logistic,0.848960506801863
200,4,1,0.2,0,binary:hinge,0.8423267020243439
200,4,1,0.2,0,binary:logitraw,0.8430944454945429
200,4,1,0.25,nan,binary:logistic,0.848653366402469
200,4,1,0.25,nan,binary:hinge,0.8437701758788667
200,4,1,0.25,nan,binary:logitraw,0.8439236725065787
200,4,1,0.25,0,binary:logistic,0.848653366402469
200,4,1,0.25,0,binary:hinge,0.8437701758788667
200,4,1,0.25,0,binary:logitraw,0.8439236725065787
200,4,1.5,0.15,nan,binary:logistic,0.8498203878643734
200,4,1.5,0.15,nan,binary:hinge,0.8426031515872706
200,4,1.5,0.15,nan,binary:logitraw,0.8429408866136129
200,4,1.5,0.15,0,binary:logistic,0.8498203878643734
200,4,1.5,0.15,0,binary:hinge,0.8426031515872706
200,4,1.5,0.15,0,binary:logitraw,0.8429408866136129
200,4,1.5,0.2,nan,binary:logistic,0.8496668176646766
200,4,1.5,0.2,nan,binary:hinge,0.8414360225970805
200,4,1.5,0.2,nan,binary:logitraw,0.8430330468434583
200,4,1.5,0.2,0,binary:logistic,0.8496668176646766
200,4,1.5,0.2,0,binary:hinge,0.8414360225970805
200,4,1.5,0.2,0,binary:logitraw,0.8430330468434583
200,4,1.5,0.25,nan,binary:logistic,0.8484998273293812
200,4,1.5,0.25,nan,binary:hinge,0.8435244341305577
200,4,1.5,0.25,nan,binary:logitraw,0.8434322767304042
200,4,1.5,0.25,0,binary:logistic,0.8484998273293812
200,4,1.5,0.25,0,binary:hinge,0.8435244341305577
200,4,1.5,0.25,0,binary:logitraw,0.8434322767304042
200,4,2,0.15,nan,binary:logistic,0.8501582219299264
200,4,2,0.15,nan,binary:hinge,0.8423267388103364
200,4,2,0.15,nan,binary:logitraw,0.8434016000423957
200,4,2,0.15,0,binary:logistic,0.8501582219299264
200,4,2,0.15,0,binary:hinge,0.8423267388103364
200,4,2,0.15,0,binary:logitraw,0.8434016000423957
200,4,2,0.2,nan,binary:logistic,0.8492061268734278
200,4,2,0.2,nan,binary:hinge,0.842111736003254
200,4,2,0.2,nan,binary:logitraw,0.8428180610145262
200,4,2,0.2,0,binary:logistic,0.8492061268734278
200,4,2,0.2,0,binary:hinge,0.842111736003254
200,4,2,0.2,0,binary:logitraw,0.8428180610145262
200,4,2,0.25,nan,binary:logistic,0.8495439920655897
200,4,2,0.25,nan,binary:hinge,0.8440772738328848
200,4,2,0.25,nan,binary:logitraw,0.8428794823031448
200,4,2,0.25,0,binary:logistic,0.8495439920655897
